video_id,title,published_at,duration_seconds,view_count,like_count,comment_count,tags,description,thumbnail_url
1WXL1IfivVo,What If You Dig A Hole Through The Earth?,2024-08-16T14:51:21Z,50,93565423,3774295,27650,,"I have a question… what if I dug a hole all the way through the Earth and jumped in?

Would I get stuck in the middle? Would I bounce from side to side?

In real life, the deepest anyone has ever dug is .2% of the way to the center. And yet, we know a surprising amount about what's down below our feet...

If you like optimistic science and tech stories, subscribe for more of our show Huge If True!

#shorts #animation #deepest #science #technology #historyfacts",https://i.ytimg.com/vi/1WXL1IfivVo/maxresdefault.jpg
UtTqJ9at3Xo,How Do They Build Underwater Tunnels?,2024-10-25T14:28:05Z,35,71471907,2795741,8803,,"I have a question: How do they build underwater tunnels? How do they not fill up with water!?


The Channel Tunnel is one of the longest undersea tunnels. Here's how they built it...

If you like optimistic science and tech stories, subscribe to our show Huge If True!

#animation #deepsea #underwater #science #tech #tunnel",https://i.ytimg.com/vi/UtTqJ9at3Xo/maxresdefault.jpg
yMNmhpQ7mOs,What If You Just Keep Digging?,2024-07-19T15:15:27Z,59,51696686,2757174,19860,,"I have a question… what if I just dug a really deep hole? That’s what the USSR did in 1970. This hole is 7.6 miles or 12.2 kilometers deep, making it deeper than the deepest part of the ocean and deeper than Mt. Everest is tall.

It was part of a race to see who could retrieve a sample from Earth’s mantle first - kind of like the space race, but DOWN. Here's what they found... 

Humanity’s deepest hole is only 0.002% of the way to the middle of the Earth. There’s still so much left to learn about our own planet. 

If you like optimistic science and tech stories, subscribe for more of our show Huge If True!

#shorts #animation #deepest #science #technology #historyfacts",https://i.ytimg.com/vi/yMNmhpQ7mOs/maxresdefault.jpg
ltyFiNsRFKg,Can You Guess This Animal?,2025-01-02T16:46:04Z,36,38194275,1782452,6699,,"This is a drawing of a modern animal…. if you drew it the way many early science illustrators drew dinosaurs.

They just drew skin wrapped around bone without muscle, turning this normal animal into a monster. Can you guess what it is?

This is called “shrink wrapping” and it has affected the way a lot of us think about what dinosaurs looked like…

If you want to know more about dinosaurs, watch our longer video!And subscribe for optimistic science and tech stories… 

#shorts #animation #illustration #dinosaur #science #stemfacts",https://i.ytimg.com/vi/ltyFiNsRFKg/maxresdefault.jpg
rme6PT7-CRI,"Why Can't Robots Check ""I'm Not A Robot""?",2024-05-03T16:57:59Z,48,33835581,1989249,17482,,"Why can’t a robot just click “I’m not a robot”? Turns out the answer is part of a bigger story about being human.

The box test isn’t really about the box! It’s actually tracking other things about your behavior, like how you move your mouse as you go to check the box.

The tech is called reCAPTCHA - “Completely Automated Public Turing test to tell Computers and Humans Apart”. And these days, these tests are not about figuring out what makes humans BETTER than robots. They’re about what makes humans human. It’s the same question we’ve been thinking about for centuries.

If you like science and tech stories like this, follow for more!

#robot #science #recaptcha #tech #stem",https://i.ytimg.com/vi/rme6PT7-CRI/maxresdefault.jpg
DZ9v54D4mZ8,How Deep The Ocean REALLY Is,2023-10-04T13:16:35Z,59,33017909,1824129,12453,,"Most people don’t understand just HOW DEEP the ocean really is. If you put Mt. Everest into the water upside down, there would still be over a mile before you got to the bottom. It’s roughly the average cruising altitude of a 737 airplane! Imagine you walk off the coast into the water. Here's what you'd see...

This short is part of Huge If True, our optimistic show about science and tech. We just made a longer episode all about mapping our oceans! Subscribe to support us and to see more. 

#shorts #tech #stem #ocean #deepocean #deepsea #animation #science",https://i.ytimg.com/vi/DZ9v54D4mZ8/maxresdefault.jpg
jwhtySfG8P8,What If You Dove Into the Sun?,2025-04-02T15:34:13Z,44,30696716,960266,10720,,"If you dove into the sun, the first layer you’d hit is hot enough to make diamonds BOIL.

If you kept going and were magically protected, here's what you'd see... 

For more optimistic science and tech stories, subscribe for our show Huge If True. 

#shorts #sun #space #science #animation #deep #deepest",https://i.ytimg.com/vi/jwhtySfG8P8/maxresdefault.jpg
I47IFOvAipM,How Do They Make Particles Hit Each Other?,2024-06-03T13:59:10Z,60,26249788,1245963,10542,,"On the border between France and Switzerland is the biggest science experiment ever built. It’s a tunnel, over 100 meters underground and 27 kilometers long. Inside that tunnel, scientists put a long blue tube… and inside that tube, they put two pipes that they keep colder and emptier than outer space… and down those pipes, they fire particles smaller than atoms…  
in opposite directions, pushing them faster and faster until, when they’re almost the speed of light, they finally smash together!

But my question was… how do they get them to actually hit each other?? Here's the answer. 

It is amazing that humanity can do this. If you like optimistic science and tech stories, subscribe to see more from our show Huge If True.

#science #tech #stem #animation #cern #physics",https://i.ytimg.com/vi/I47IFOvAipM/maxresdefault.jpg
uOdZoCKOays,How Big Is the BIGGEST Black Hole?,2025-02-23T18:08:48Z,54,21882064,841212,9752,,"The size of blackholes is wild. Here's the range, from smallest to largest...

Ever wondered what would happen if you fell into one? We’re making a longer video all about black holes featuring physicist Brian Cox, so subscribe for more of our show Huge If True!

#shorts #blackhole #space #science #animation #deepest",https://i.ytimg.com/vi/uOdZoCKOays/maxresdefault.jpg
aAW3CxVDT3w,What’s Hidden Under Antarctica?,2025-10-20T17:35:24Z,85,20128797,848125,6261,,"What would happen if you drilled a hole straight through the ice in Antarctica…and jumped in?

You jump in and the snow around you quickly changes to dense blue ice…

As you go deeper, you realize the air bubbles trapped all around you are from the time of the Renaissance on the surface…
… then Ancient Rome… 
… then the last Ice Age!

But the pressure is rising and you’re getting closer to Earth’s hot core, the ice suddenly turns into…

To find out what it is, subscribe!

#shorts #Antarctica #ice #mystery #science",https://i.ytimg.com/vi/aAW3CxVDT3w/maxresdefault.jpg
Bn8NANaeyYI,The ISS Is Crashing Into The Ocean,2025-07-23T16:53:12Z,56,19857889,704427,6440,,"The International Space Station is crashing down into the ocean in 2030! But why is that the best option?

Turns out, world space agencies had 4 options... 

For more optimistic science and tech stories, subscribe.

#shorts #science #tech #space #internationalspacestation #ISS",https://i.ytimg.com/vi/Bn8NANaeyYI/maxresdefault.jpg
ykxIf3uxoK0,How Strong Is The STRONGEST Magnet?,2025-07-08T15:55:17Z,60,19552574,824847,4003,,"The world’s strongest magnet… how strong is it?

For reference a fridge magnet is about 0.001 “Tesla,"" which is how we measure a magnet’s strength...

We use these insanely powerful magnets to do experiments. And if you want to know what they’ve found, subscribe!

#shorts #magnet #science #tech",https://i.ytimg.com/vi/ykxIf3uxoK0/maxresdefault.jpg
fZUGjmlFADM,How Deep is the DEEPEST Submarine?,2025-06-29T13:00:48Z,60,19393685,560750,2641,,"Most people don’t understand how deep submarines go…

If we dove to the deepest submarine, here’s what we’d see. 

But we’re not even close to the deepest we can go…

We’re making more videos about LIVING underwater, so subscribe!

#shorts #deepocean #deepblue #science #ocean #animation #submarine",https://i.ytimg.com/vi/fZUGjmlFADM/maxresdefault.jpg
bZ1KElhZqVA,What Really Happened to the Ozone Layer,2024-11-04T14:27:01Z,37,19200820,1077281,7762,,"Remember when the ozone layer had a huge hole in it? Now it’s shrinking! Here’s what happened...

The ozone layer is high in the atmosphere and shields us from radiation. But in the early 80’s scientists noticed the ozone above the south pole was depleting…. fast. Scientists suspected that chemicals in everyday products were rising into the atmosphere and destroying ozone molecules.

So scientist Susan Solomon led an expedition to the south pole and proved that the chemicals, called chlorofluorocarbons, were to blame. Her work became the basis for the UN Montreal Protocol, which banned chlorofluorocarbons in 1987.

Since then, emissions have dropped dramatically and the latest data from NASA satellites shows that the ozone layer is recovering! 


Subscribe for more optimistic science and tech stories!

#animation #ozone #optimism #science #tech",https://i.ytimg.com/vi/bZ1KElhZqVA/maxresdefault.jpg
Xm1wjQRKwaI,When Will The Sun Die?,2025-04-07T14:32:32Z,55,18934978,700450,4729,,"Where is our Sun in its lifetime? Halfway through? Closer to the end? If you map out the stars, with the hotter ones toward the left and brighter ones toward the top, you’d get this famous chart showing a star’s life...

Here's where our Sun is in its life right now, and what we think will happen next... 

We have more coming about black holes, so subscribe!

#shorts #sun #space #animation #science #stemeducation",https://i.ytimg.com/vi/Xm1wjQRKwaI/maxresdefault.jpg
33s1Qqd2A-8,What If You Just Keep Going?,2025-09-26T14:27:54Z,80,17633250,720330,7460,,"I have a question… what if I just kept going away from Earth?

Imagine you fly off at the speed of light. After 8.3 minutes, you’d reach our Sun. After 4 hours and 6 minutes, you’d pass the furthest planet in our solar system.

How long do you think it takes you at the speed of light to get to the farthest object humans have ever sent? Subscribe if you think less than 24 hours.

But at 4 years in, just as you’re passing our nearest star… something weird happens…

If you like optimistic science and tech stories, subscribe for more of our show Huge If True!

#shorts #animation #farthest #science #technology #historyfacts",https://i.ytimg.com/vi/33s1Qqd2A-8/maxresdefault.jpg
oDN7A2IRXYQ,What If You Just Kept Running Up?,2025-02-07T16:02:25Z,45,16977393,777991,3613,,"What if you just kept running UP? When would you hit “space”?

Here’s how long it would take you to hit the important points far above your head right now… 

If you want more optimistic science and tech stories, subscribe for our show Huge If True!

Note: This is a repost of a previous video, so that we could correct an on-screen typo (35,000km)! Thank you.

#shorts #animation #space #science #technology #historyfacts",https://i.ytimg.com/vi/oDN7A2IRXYQ/maxresdefault.jpg
7GfPcj2D-Ek,What’s Really Inside the Earth?,2024-09-04T17:16:14Z,52,16167469,840649,4163,,"The deepest hole humans have ever dug went only 0.2% of the way to the Earth’s center. But then… how do we know that our planet has a solid core that seems to spin at its own rate?

If you like optimistic science and tech stories, subscribe for more of our show Huge If True!

#animation #deepest #science #technology #historyfacts",https://i.ytimg.com/vi/7GfPcj2D-Ek/maxresdefault.jpg
SUInyhPJjJE,New Discovery Inside Great Pyramid,2023-06-28T13:37:13Z,60,16020627,934627,7974,,"Archeologists just discovered something new inside the largest pyramid in Egypt. And they did it without doing any digging. They used something called cosmic-ray muon radiography. So here’s how it works and what they discovered!

If you like fun tech videos, you'll love this adventure to uncover the truth about nuclear waste: https://youtu.be/IzQ3gFRj0Bc

And if you want to support optimistic tech content, the best thing you can do is subscribe :)

#shorts #technology #discovery #science",https://i.ytimg.com/vi/SUInyhPJjJE/maxresdefault.jpg
